generation;exp_num;collapsed;val_acc;train_acc;lr;num_conv_layers;num_channels;kernels;padding;conv_type;pooling_a_conv;pooling_final;fc_layer;arch_order;in_features
21;2;False;0.104568;0.120963;0.000050;8;[10, 14, 32, 32, 32, 32, 32, 38];[3, 5, 3, 3, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1328;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
21;3;False;0.091481;0.128889;0.000050;8;[10, 14, 26, 32, 32, 32, 32, 32];[3, 5, 3, 3, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
22;1;False;0.096420;0.104370;0.000050;9;[10, 14, 26, 32, 32, 32, 32, 32, 32];[3, 5, 3, 3, 5, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
22;2;False;0.102222;0.135333;0.000050;8;[10, 14, 32, 32, 32, 32, 32, 38];[3, 5, 3, 3, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
22;3;False;0.090494;0.144074;0.000050;8;[10, 14, 26, 32, 32, 32, 32, 32];[3, 5, 3, 3, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
23;1;False;0.107531;0.233481;0.000050;8;[10, 14, 32, 32, 32, 32, 32, 38];[3, 5, 5, 3, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
23;2;False;0.107284;0.186667;0.000050;8;[10, 14, 32, 32, 32, 32, 32, 44];[3, 5, 3, 3, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
23;3;False;0.105926;0.139037;0.000050;8;[10, 14, 32, 32, 32, 32, 32, 38];[3, 5, 3, 3, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
24;1;False;0.116667;0.178667;0.000050;7;[10, 14, 32, 32, 32, 32, 32];[3, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
24;2;False;0.108148;0.124000;0.000050;8;[10, 14, 32, 32, 32, 32, 32, 38];[3, 5, 3, 3, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
24;3;False;0.098148;0.136815;0.000050;8;[10, 14, 32, 32, 32, 32, 32, 38];[3, 5, 3, 3, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
25;1;False;0.096790;0.284963;0.000050;8;[10, 14, 32, 32, 32, 32, 32, 38];[3, 5, 3, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
25;2;False;0.099383;0.175333;0.000050;8;[10, 14, 32, 32, 32, 32, 32, 44];[3, 5, 3, 3, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
25;3;False;0.094444;0.109852;0.000050;9;[10, 14, 32, 32, 32, 32, 32, 38, 38];[3, 5, 3, 3, 5, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
26;1;False;0.106420;0.229259;0.000050;7;[10, 20, 32, 32, 32, 32, 32];[3, 7, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 1, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
26;2;False;0.111481;0.178593;0.000050;7;[10, 14, 26, 32, 32, 32, 32];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
26;3;False;0.104074;0.125481;0.000050;8;[10, 14, 32, 32, 32, 32, 32, 44];[3, 5, 3, 3, 5, 5, 5, 7];[1, 1, 1, 1, 1, 1, 1, 1];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
27;1;False;0.114198;0.156519;0.000050;6;[10, 14, 26, 26, 32, 32];[5, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
27;2;False;0.111852;0.194444;0.000050;7;[10, 14, 26, 32, 32, 32, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];avg;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
27;3;False;0.084198;0.087926;0.000050;6;[10, 14, 32, 32, 32, 32];[5, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1456;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
28;1;False;0.104444;0.144000;0.000050;5;[10, 14, 26, 26, 26];[5, 5, 3, 3, 5];[1, 0, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
28;2;False;0.108889;0.138667;0.000050;6;[10, 14, 26, 32, 32, 32];[5, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
28;3;False;0.111111;0.157704;0.000050;6;[10, 14, 26, 26, 32, 32];[5, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1584;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
29;1;False;0.112716;0.190815;0.000050;7;[10, 14, 26, 26, 32, 32, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
29;2;False;0.114198;0.177704;0.000050;6;[10, 14, 26, 32, 32, 32];[3, 5, 3, 3, 5, 5];[1, 1, 1, 0, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
29;3;False;0.098395;0.190148;0.000050;7;[10, 14, 26, 26, 32, 32, 32];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
30;1;False;0.093704;0.102444;0.000050;6;[10, 14, 26, 26, 32, 32];[5, 5, 3, 5, 5, 5];[1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
30;2;False;0.116296;0.183037;0.000050;7;[10, 14, 26, 26, 32, 38, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;avg;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
30;3;False;0.104938;0.182148;0.000050;7;[10, 14, 26, 26, 32, 32, 38];[5, 5, 3, 3, 5, 5, 5];[1, 1, 1, 1, 1, 0, 0];['conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn', 'conv3dttn'];max;max;1712;['conv', 'pool', 'conv', 'conv', 'conv', 'conv', 'conv', 'conv', 'pool', 'fc', 'fc'];72
